ain,supplied_address,address_from_apn,latitude,longitude,source_files
5002024018,1100 W 54TH ST ,"1100 W 54TH ST, LOS ANGELES CA 90037",33.992954,-118.293836,2015 Registered Foreclosed Properties.csv
4382029106,2552 N ALMADEN CT ,"2507 ANGELO DR, LOS ANGELES CA 90077",34.117834,-118.443567,"Building Book - GSD - 4468 FY 2014_by_building_book_number.csv, Building Book - GSD - 4468 FY 2014_listed_by_address.csv, 2015 Registered Foreclosed Properties.csv"
2766011056,17409 W NORDHOFF ST ,"17409 NORDHOFF ST, LOS ANGELES CA 91325",34.236344,-118.5136832,2015 Registered Foreclosed Properties.csv
2558022038,10249 N TUJUNGA CANYON BLVD ,"10249 TUJUNGA CANYON BLVD, 6, LOS ANGELES CA 91042",34.2434361,-118.2745121,2015 Registered Foreclosed Properties.csv
5007019028,5408 S WEST BLVD ,"5408 WEST BLVD, LOS ANGELES CA 90043",36.0872049,-96.0433013,2015 Registered Foreclosed Properties.csv
6014022018,1111 W 69TH ST ,"1111 W 69TH ST, LOS ANGELES CA 90044",41.7686971,-87.6522302,2015 Registered Foreclosed Properties.csv
4429019037,397 N FORDYCE ROAD ,"397 FORDYCE RD, LOS ANGELES CA 90049",46.3879922,-120.0619773,2015 Registered Foreclosed Properties.csv
7372015052,1725 W 247TH ST ,"1725 247TH ST, LOS ANGELES CA 90717",33.801214,-118.308685,2015 Registered Foreclosed Properties.csv
6048008016,1506 E 98TH ST ,"1506 E 98TH ST, LOS ANGELES CA 90002",33.505278,-101.820419,2015 Registered Foreclosed Properties.csv
6057003029,2046 W 93RD ST ,"2046 W 93RD ST, LOS ANGELES CA 90047",41.7247254,-87.6736965,2015 Registered Foreclosed Properties.csv
5536005020,5738 W LA MIRADA AVE ,"5736 LA MIRADA AVE, LOS ANGELES CA 90038",34.0935324,-118.3149305,2015 Registered Foreclosed Properties.csv
5583013014,2754 N WOODHAVEN DR ,"2754 N WOODHAVEN DR, LOS ANGELES CA 90068",39.3860096,-104.7077302,2015 Registered Foreclosed Properties.csv
